Date,StartTime,EndTime,Duration_min,BigBird,SmallBird,Condition,Temp_F,Dew _F,Precip_in,Wind_mph
20-Apr,10:41,11:03,22,13,20,Cloudy,69,53,0,6
21-Apr,7:06,7:31,25,12,3,Rain,57,54,0.04,6
22-Apr,7:27,7:56,29,8,24,Fair,56,48,0,11
23-Apr,7:14,7:38,24,8,6,Fair,58,51,0,0
24-Apr,7:17,7:42,25,4,14,Fair,61,51,0,3
25-Apr,7:22,7:50,28,6,11,Cloudy,57,50,0,5
26-Apr,11:20,11:53,33,7,14,MostlyCloudy,64,45,0,17
27-Apr,7:21,7:48,27,18,8,MostlyCloudy,54,43,0,4
28-Apr,7:20,7:52,32,14,17,Fair,56,43,0,0
29-Apr,8:20,8:39,19,9,5,Fair,49,51,0,0
30-Apr,7:06,7:32,26,10,7,Fair,51,54,0,0
1-May,7:17,7:43,26,8,6,MosltyCloudy,54,54,0,0
2-May,11:20,11:48,28,5,9,Mist,57,54,0,5
3-May,10:53,11:18,25,6,10,Cloudy,61,50,0,9
4-May,7:05,7:30,25,9,7,Fair,49,47,0,3
5-May,7:12,7:40,28,7,19,Cloudy,57,47,0,3
6-May,7:18,7:44,26,8,6,Fair,52,52,0,0
7-May,7:02,7:27,25,11,7,Fair,53,54,0,0
8-May,10:03,10:34,31,6,12,Cloudy,60,55,0,5
9-May,7:09,7:36,27,4,6,Fog,56,54,0,3
10-May,7:14,7:39,25,5,7,Mist,56,55,0,0
11-May,7:21,7:50,29,6,8,Mist,54,55,0,5
12-May,7:07,7:33,26,5,9,Mist,54,54,0,8
13-May,7:03,7:28,25,7,10,Cloudy,59,54,0,3
14-May,9:53,10:13,20,6,11,Cloudy,63,54,0,8
15-May,7:11,7:37,26,5,9,Mist,57,54,0,7
16-May,7:19,7:47,28,10,7,Fair,53,51,0,0
17-May,7:06,7:31,25,11,6,Fair,52,51,0,0
18-May,7:23,7:51,28,13,7,Fair,60,49,0,0
19-May,7:08,7:34,26,9,5,Fair,56,50,0,3
20-May,7:15,7:41,26,10,4,Fair,55,51,0,0
21-May,7:04,7:29,25,4,5,Smoke,57,55,0,7
22-May,7:28,8:00,32,3,3,Smoke,56,55,0,0
23-May,7:13,7:38,25,6,5,Mist,55,53,0,3
